system:index,MAP,MAT,areaHa,aspect,class,elev,lat,long,precip,precip_drymo,precip_wetmo,sharedlat,sharedlong,slope,soil,.geo
5805,1176.9662816109908,228.7981240413201,24.578506250067264,159.11702344269645,2.0,615.2291465881178,-18.788807444949956,-44.95590931117036,1210.0739757201945,3.9975159157854727,264.9975159157856,-18.765331629945837,-44.94896713912856,1.7591388508056311,LVd3,
5817,1170.8909762298722,229.67878041890313,16.542827935487296,137.024718511643,2.0,605.3073973929537,-18.79316690444162,-44.9576632253083,1210.0252532958984,3.321219581096897,264.32121958109707,-18.765331629945837,-44.94896713912856,2.0,LVd3,
5746,1179.0,229.0,29.058505081881886,73.58742165798117,2.0,627.2332468605802,-18.744712939350944,-44.97972377968861,1230.186264038086,3.0,263.0,-18.765331629945837,-44.94896713912856,1.601528960719944,LVd3,
5771,1176.9415245364125,228.69323285482056,48.411078959565124,292.9972653128704,2.0,615.2278331909739,-18.739495545623313,-44.969499354758376,1230.186264038086,3.0,262.6135342903589,-18.765331629945837,-44.94896713912856,1.934856583914254,LVd3,
527,1174.4202715503632,230.0,22.189981941047915,200.7309907227811,1.0,610.966620055032,-18.76234628514621,-44.968592244531436,1210.0252532958984,3.0,263.0,-18.765331629945837,-44.94896713912856,2.719157381929724,CXbd21,
528,1179.0560793062498,228.3775682774999,18.533459579366223,225.5673779281062,1.0,617.1573351084879,-18.75735744210045,-44.97183292551309,1210.0252532958984,3.0,263.81121586125,-18.765331629945837,-44.94896713912856,2.6978338310963967,CXbd21,
5821,1179.3029188822263,228.64032507448047,17.686535037721104,292.0714070219103,2.0,614.1234113964625,-18.7741392517978,-44.95516563313605,1210.0252532958984,3.994324395670702,264.9886487913413,-18.765331629945837,-44.94896713912856,2.2118452313610133,LVd3,
5841,1178.510115338109,228.5316249651198,28.65875587678704,220.74181471491025,2.0,629.6413938238306,-18.771352461881953,-44.95016505387817,1216.050893545662,4.0,265.0,-18.765331629945837,-44.94896713912856,1.5684354943726166,LVd3,
529,1178.025543246528,228.00752218441025,41.47664914540312,129.54815404790065,1.0,626.8035865131665,-18.77384049437573,-44.9444119276783,1222.8902435302734,4.0,265.1158416399168,-18.765331629945837,-44.94896713912856,1.0616014609932503,LVd3,
530,1175.5287090606914,228.2116910542692,26.67562808854492,167.5679833056343,1.0,623.8920614292673,-18.773407655781508,-44.931531415584715,1222.8902435302734,4.0,265.7883089457307,-18.765331629945837,-44.94896713912856,1.2857535581741155,CXbd21,
